item	file_sentence	file_word	experiment	syll	initial
rouba-rouba	rouba1.mp3	rouba2.mp3	real	2	C
pinta-pinta	pinta1.mp3	pinta2.mp3	real	2	C
passa-passa	passa1.mp3	passa2.mp3	real	2	C
leva-leva	leva1.mp3	leva2.mp3	real	2	C
canta-canta	canta1.mp3	canta2.mp3	real	2	C
unha-unha	unha1.mp3	unha2.mp3	real	2	V
olha-olha	olha1.mp3	olha2.mp3	real	2	V
erra-erra	erra1.mp3	erra2.mp3	real	2	V
ama-ama	ama1.mp3	ama2.mp3	real	2	V
indaga-indaga	indaga1.mp3	indaga2.mp3	real	2	V
remonta-remonta	remonta1.mp3	remonta2.mp3	real	3	C
desenha-desenha	desenha1.mp3	desenha2.mp3	real	3	C
começa-começa	comeca1.mp3	comeca2.mp3	real	3	C
relata-relata	relata1.mp3	relata2.mp3	real	3	C
disseca-disseca	disseca1.mp3	disseca2.mp3	real	3	C
isola-isola	isola1.mp3	isola2.mp3	real	3	V
alega-alega	alega1.mp3	alega2.mp3	real	3	V
empata-empata	empata1.mp3	empata2.mp3	real	3	V
ocupa-ocupa	ocupa1.mp3	ocupa2.mp3	real	3	V
uiva	uiva1.mp3	uiva2.mp3	real	3	V
poca-poca	poca1.mp3	poca2.mp3	nonce	2	C
suba-suba	suba1.mp3	suba2.mp3	nonce	2	C
bonha-bonha	bonha1.mp3	bonha2.mp3	nonce	2	C
nava-nava	nava1.mp3	nava2.mp3	nonce	2	C
nela-nela	nela1.mp3	nela2.mp3	nonce	2	C
empa-empa	empa1.mp3	empa2.mp3	nonce	2	V
hita-hita	hita1.mp3	hita2.mp3	nonce	2	V
ompa-ompa	ompa1.mp3	ompa2.mp3	nonce	2	V
ada-ada	ada1.mp3	ada2.mp3	nonce	2	V
umpa-umpa	umpa1.mp3	umpa2.mp3	nonce	2	V
pissipa-pissipa	pissipa1.mp3	pissipa2.mp3	nonce	3	C
cafeta-cafeta	cafeta1.mp3	cafeta2.mp3	nonce	3	C
renala-renala	renala1.mp3	renala2.mp3	nonce	3	C
vapeza-vapeza	vapeza1.mp3	vapeza2.mp3	nonce	3	C
cutocha-cutocha	cutocha1.mp3	cutocha2.mp3	nonce	3	C
irrega-irrega	irrega1.mp3	irrega2.mp3	nonce	3	V
esonha-esonha	esonha1.mp3	esonha2.mp3	nonce	3	V
acarra-acarra	acarra1.mp3	acarra2.mp3	nonce	3	V
urruba-urruba	urruba1.mp3	urruba2.mp3	nonce	3	V
olipa-olipa	olipa1.mp3	olipa2.mp3	nonce	3	V
